status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
9258148868_10155543486193869,A cartoon by Peter C Vey.,Timeline Photos,photo,https://www.facebook.com/newyorker/photos/a.430906773868.229225.9258148868/10155543486193869/?type=3,2018-02-27 07:38:09,861,38,151,602,25,1,230,3,0,0
9258148868_10155542383968869,The Clinton impeachment shapes how Jerry Nadler views a prospective case against Trump.,The New York Congressman Who Could Lead an Impeachment Charge Against Trump,link,http://nyer.cm/VkIxbw1,2018-02-26 20:00:27,251,15,39,223,24,1,3,0,0,0
9258148868_10155542342768869,"China’s move to end a two-term limit on the Presidency confirmed long-standing rumors and cleared the way for Xi Jinping to rule the country for as long as he, and his peers, can abide.",Xi Jinping May Be President for Life. What Will Happen to China?,link,http://nyer.cm/qyohPf4,2018-02-26 19:36:22,228,72,101,90,0,57,6,14,61,0
9258148868_10155542325558869,"As viewers, we have been soothed by the golden vision of uncolonized black society; still, it’s easy to understand, considering his vantage point, why the mere idea of Wakanda has driven Killmonger completely insane.","On Killmonger, the American Villain of “Black Panther”",link,http://nyer.cm/1mxenhJ,2018-02-26 19:30:15,123,7,21,111,9,3,0,0,0,0
9258148868_10155542270373869,"Handsome Antoni, the breakout star of the new group, is often seen squeezing avocados.",The Aspirational Anima of the Netflix Revival of “Queer Eye”,link,http://nyer.cm/zQU0R1a,2018-02-26 19:00:39,583,166,29,474,97,0,12,0,0,0
9258148868_10155542075663869,"“The new movie “Annihilation” feels like a vanity project in a very specific way,” Richard Brody writes.",The Pseudo-Mysterious Seriousness of “Annihilation”,link,http://nyer.cm/8jD9JlZ,2018-02-26 17:30:14,48,20,4,42,2,0,4,0,0,0
9258148868_10155542035973869,"""On its Facebook page, Gravity posted a video showing, on one side, a person restlessly freaking out in bed under a comforter (i.e., me since childhood), and, on the other, a perfect sleeper under a Gravity Blanket (the person I could be).""",The Seductive Confinement of a Weighted Blanket in an Anxious Time,link,http://nyer.cm/sXxNMkk,2018-02-26 17:15:08,928,191,304,848,59,14,7,0,0,0
9258148868_10155541512118869,Today's daily cartoon by Pia Guerra.,Timeline Photos,photo,https://www.facebook.com/newyorker/photos/a.430906773868.229225.9258148868/10155541512118869/?type=3,2018-02-26 13:08:04,292,5,39,224,4,1,60,3,0,0
9258148868_10155541346828869,A cartoon by Olivia de Recat.,Timeline Photos,photo,https://www.facebook.com/newyorker/photos/a.430906773868.229225.9258148868/10155541346828869/?type=3,2018-02-26 11:51:05,16396,3270,8485,11018,802,7,4559,8,2,0
9258148868_10155541155643869,"This week's cover, “Golden Opportunity,” by Chris Ware: http://nyer.cm/RqjSXkJ",Timeline Photos,photo,https://www.facebook.com/newyorker/photos/a.430906773868.229225.9258148868/10155541155643869/?type=3,2018-02-26 09:53:39,1251,48,221,1042,70,93,5,33,8,0
9258148868_10155540890423869,"I thought about my ring, and how I didn’t want to risk losing it again. In the moments when I thought that I had lost it forever, I conflated the ring with my marriage. How could I have been so careless?","On Losing a Husband, and (Almost) Losing a Wedding Ring",link,http://nyer.cm/6V8Uxci,2018-02-26 07:36:03,220,15,32,127,67,0,0,26,0,0
9258148868_10155540671988869,"By day, the floral designer Lewis Miller creates arrangements of abundance and originality for understated events at such venues as the Maidstone Club, the Stone Barns Center, and the New York Public Library. By night, his Banksy side kicks in.",The Banksy of Floral Design,link,http://nyer.cm/Qdfx3Kh,2018-02-26 05:00:18,206,14,54,166,37,2,1,0,0,0
9258148868_10155539284458869,"Days after the Stoneman Douglas school shooting, a local firearms instructor planned a “Train the Teacher” seminar.","Twenty Minutes from Parkland, Two Teachers Work on Their Shooting Skills",link,http://nyer.cm/qltFHv7,2018-02-25 14:24:41,221,76,28,46,3,7,6,43,116,0
9258148868_10155539242893869,"“At a certain time in the morning, the prisoners’ wives began to arrive and started gesturing, their faces turned up toward the windows.”",Italo Calvino: “Waiting for Death in a Hotel”,link,http://nyer.cm/tp4fCMR,2018-02-25 14:00:29,72,4,13,58,9,1,0,4,0,0
9258148868_10155538593468869,Fergie didn’t so much botch the national anthem as completely reinvent it in the most insane and enthralling way possible.,Fergie’s Wild Reinvention of the National Anthem at the N.B.A. All-Star Game,link,http://nyer.cm/L8hMmKO,2018-02-25 09:00:22,217,109,30,143,10,6,50,1,7,0
9258148868_10155538505968869,"On Wednesday, Cameron Kasky, a student from Marjory Stoneman Douglas High School, confronted Senator Marco Rubio in a way that few journalists have ever managed.",CNN’s Town Hall on Guns and the Unmaking of Marco Rubio,link,http://nyer.cm/h7toFq1,2018-02-25 08:00:35,1349,35,122,1148,170,20,4,3,4,0
9258148868_10155537309093869,"In a purely musical realm, the Met might have done better than Yannick Nézet-Séguin, but his youth, vibrancy, and solid expertise made him an irresistible choice.","Sizing Up Yannick Nézet-Séguin, the Met’s Incoming Music Director, in Wagner’s “Parsifal”",link,http://nyer.cm/YYrMQyr,2018-02-24 21:00:31,36,1,8,33,1,2,0,0,0,0
9258148868_10155537192968869,"Stand Your Ground—which was created by the N.R.A. lobbyist Marion Hammer—was introduced in the Florida legislature in 2004. Though no one realized it at the time, it would become the N.R.A.’s most controversial law.",The N.R.A. Lobbyist Behind Florida’s Pro-Gun Policies,link,http://nyer.cm/MEcWfCh,2018-02-24 19:33:02,123,9,42,28,0,1,0,10,84,0
9258148868_10155536614178869,"As the Winter Olympics draw to a close in Pyeongchang, the novelist Min Jin Lee  writes about what it was like watching as a child of two Koreas and her hopes for their future.","After the Pyeongchang Winter Olympics, Healing the Deepest Fracture",link,http://nyer.cm/YlJZwTh,2018-02-24 14:30:15,52,4,8,48,2,1,0,0,1,0
9258148868_10155536265403869,In Daily Shouts: You aren’t even mindful enough to concentrate on a five-point listicle about mindfulness.,Daily Self-Negations,link,http://nyer.cm/nMy1o8z,2018-02-24 11:30:05,213,11,36,156,13,0,43,1,0,0
