status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
18807449704_10155585194154705,Never freak about losing your luggage with this GPS tracking travel set.,GPS luggage,video,https://www.facebook.com/mashable/videos/10155585194154705/,2017-09-06 10:00:00,220,17,267,197,7,15,0,1,0,0
18807449704_10155608894159705,Hurricane Irma is one of Earth's most powerful storms. Here's what you need to know.,Hurricane Irma update,video,https://www.facebook.com/mashable/videos/10155608894159705/,2017-09-06 08:45:19,1100,97,821,669,6,297,6,120,2,0
18807449704_10155606467314705,"Elon Musk's 'Dota 2' AI embarassed esports pros, but that was only the beginning.",Elon Musks esports AI bot - No Playing Field,video,https://www.facebook.com/mashable/videos/10155606467314705/,2017-09-05 18:00:00,1289,266,728,1077,53,146,11,2,0,0
18807449704_10154912135332919,"Meet 'Pillo', the robot that aims to be your personal pharmacy.",Pharmacy robot,video,https://www.facebook.com/mashable/videos/10154912135332919/,2017-09-05 16:30:00,347,76,159,286,23,31,4,1,2,0
18807449704_10155606696774705,The portable camping stove has been reinvented and it can charge your phone.,This portable stove also charges a battery,video,https://www.facebook.com/mashable/videos/10155606696774705/,2017-09-05 13:45:00,942,108,829,849,36,54,3,0,0,0
18807449704_10155606540599705,This capsule may protect you from unavoidable disasters.,Protective capsule,video,https://www.facebook.com/mashable/videos/10155606540599705/,2017-09-05 12:30:00,4972,813,2952,4148,197,558,59,10,0,0
18807449704_10155592205219705,Open these doors and your clothes will magically be steamed for you.,Clothing steamer,video,https://www.facebook.com/mashable/videos/10155592205219705/,2017-09-05 10:00:00,3814,1110,1453,3104,287,399,16,5,3,0
18807449704_10155606203334705,"We're at Big Slice of NY in Manhattan, attempting to set a Guinness World Records for #DaysOfRecord! Since it's National Cheese Pizza Day, we're setting the record for most pizzas sliced in three minutes.",9.5.17 - #DaysOfRecord,video,https://www.facebook.com/mashable/videos/10155606203334705/,2017-09-05 09:20:42,224,82,44,185,29,8,1,0,1,0
18807449704_10155606087049705,A futuristic 3-story house was designed and built entirely by robots.,3-story robot house,video,https://www.facebook.com/mashable/videos/10155606087049705/,2017-09-05 08:25:14,3941,94,5594,3456,156,325,2,1,1,0
18807449704_10155373030239705,"If Wes Anderson directed 'The Witch,' it would look something like this.",The Witch as a Wes Anderson Film - Trailer Mix,video,https://www.facebook.com/mashable/videos/10155373030239705/,2017-06-28 16:40:00,209,37,52,147,21,0,40,0,0,1
18807449704_10155374289964705,These aren't stuffed animals. They're chiffon cakes.,Animal cakes,video,https://www.facebook.com/mashable/videos/10155374289964705/,2017-06-28 15:03:03,10591,2188,10991,7445,1887,1215,25,4,1,14
18807449704_10155373817529705,Charge all your devices with this laptop sleeve.,Charging bag,video,https://www.facebook.com/mashable/videos/10155373817529705/,2017-06-28 12:15:56,598,32,396,530,31,37,0,0,0,0
18807449704_10155370136074705,'Paul Blart: Mall Cop' recut as an action movie kicks some serious butt.,Paul Blart as an Action Movie - Trailer Mix,video,https://www.facebook.com/mashable/videos/10155370136074705/,2017-06-27 22:30:00,105,14,20,86,2,1,16,0,0,0
18807449704_10155370399724705,'To the Bone' could be just as controversial as '13 Reasons Why.',Netflix's new series,video,https://www.facebook.com/mashable/videos/10155370399724705/,2017-06-27 18:00:00,192,38,29,180,9,0,0,0,1,2
